v1,v2
ham,"Иди до джуронг пойнт, сумасшедший.. Доступно только в ресторане bugis n great world la e buffet... Кино там получило больше удовольствия..."
ham,"Хорошо, лар... Шутишь с тобой, они..."
spam,"Бесплатный вход в соревнование 2 a wkly за победу в финале Кубка Англии 21 мая 2005 года. Отправьте сообщение FA на номер 87121, чтобы получить вступительный вопрос (std txt rate), условия и C применяются 08452810075over18"
ham,"Ты не должен говорить так рано, хор... Вы можете уже тогда сказать..."
ham,"Нет, я не думаю, что он ходит в usf, хотя он живет где-то здесь"
spam,"FreeMsg Привет, дорогая, прошло уже 3 недели, и ни слова в ответ! Я бы хотел немного поразвлечься, ты все еще готов к этому? Тб в порядке! XXX std chgs для отправки, 1,50 рубна rcv"
ham,Даже мой брат не любит разговаривать со мной. Они обращаются со мной как с патентом на СПИД.
ham,"В соответствии с вашим запросом ""Melle Melle (Oru Minnaminunginte Nurungu Vettam)"" была установлена в качестве вашей мелодии звонка для всех абонентов. Нажмите * 9, чтобы скопировать мелодию звонка ваших друзей"
spam,"ПОБЕДИТЕЛЬ!! Как уважаемый клиент сети, вы были выбраны для получения призового вознаграждения в размере 900 руб! Чтобы подать заявку, позвоните по телефону 09061701461. Код претензии KL341. Действует только 12 часов."
spam,Ваш мобильный был у вас 11 месяцев или больше? Вы имеете право бесплатно обновлять цветные мобильные телефоны до последней версии с камерой! Позвоните в компанию Mobile Update Co БЕСПЛАТНО по телефону 08002986030
ham,"Я скоро буду дома, и я больше не хочу говорить об этом сегодня вечером, Кей? Я сегодня достаточно поплакала."
spam,"ШЕСТЬ шансов выиграть НАЛИЧНЫЕ! От 100 до 20 000  руб txt&gt; CSH11 и отправьте на 87575. Стоимость 150р / день, 6 дней, 16+ TsandCs применить Ответ HL 4 info"
spam,СРОЧНО! Вы выиграли 1 неделю БЕСПЛАТНОГО участия в нашем призовом джекпоте в размере 100 000 руб! Текстовое слово: ПРЕТЕНЗИЯ к номеру: 81010 T &amp; C www.dbuk.net LCCLTD ПОЧТОВЫЙ ЯЩИК 4403LDNW1A7RW18
ham,"Я долго искал правильные слова, чтобы поблагодарить вас за эту передышку. Я обещаю, что не приму вашу помощь как должное и выполню свое обещание. Ты был замечательным и был благословением во все времена."
ham,В воскресенье У МЕНЯ СВИДАНИЕ С УИЛЛОМ!!
spam,"XXXMobileMovieClub: Чтобы воспользоваться своим кредитом, перейдите по WAP-ссылке в следующем текстовом сообщении или нажмите здесь&gt;&gt; http://wap . xxxmobilemovieclub.com?n=QJKGIGHJJGCBL"
ham,О кей ... я наблюдаю здесь:)
ham,"Эх, ты помнишь, как пишется его имя 2... Да, я это сделал. Он v шалит до тех пор, пока я v не намокну."
ham,"Прекрасно, если ты так себя чувствуешь. Вот так это называется gota b"
spam,"Англия - Македония - не пропустите голы / новости команды. Txt ваша национальная команда на 87077, например, АНГЛИЯ на 87077 Попробуйте:УЭЛЬС, ШОТЛАНДИЯ 4txt/1.20 POBOXox36504W45WQ 16+"
ham,Ты серьезно так пишешь его имя?
